Overall Satisfaction Rate (%),Response Count,
88%,8,
,,
Overall Satisfaction by Gender,,
Gender,Overall Satisfaction Rate (%),Response Count
#REF!,#REF!,#REF!
,,
,,
,,
,,
Overall Satisfaction by Relationship,,
Relationship with Our Organization,Overall Satisfaction Rate (%),Response Count
"Dessert (Baklava, Kunefe, etc.)",100%,2
Kebabs / Grilled Meats,100%,3
Meze / Appetizers,100%,2
Pide / Lahmacun,0,1
,,
Customer Support & Interaction Breakdown,,
Area,Satisfaction Rate,
Responsiveness,#REF!,
Resolution Timeliness,#REF!,
Customer Valuation,#REF!,
,,
,,
Ease of Doing Business Breakdown,,
Area,Satisfaction Rate,
Navigation,#REF!,
Ordering Process,#REF!,
Information Accessibility,#REF!,
,,
,,
Communication & Transparency Breakdown,,
Area,Satisfaction Rate,
Effective Communication,#REF!,
Timely Updates,#REF!,
Clarity of Information,#REF!,
